GENERATION,STORY,Broken Links,Self-Referential Links,External Links,Linking Facts,Fair Report,Providing Context,Other,Total Links,Website Name
1,"Immigration Slowdown Hits Every Metro Area in the U.S., Census Shows",0,2,1,1,0,3,0,3,New York Times
2,County Population Totals and Components of Change: 2020-2024,0,3,0,3,0,0,0,3,U.S. Census Bureau
3,https://www2.census.gov/programs-surveys/popest/datasets/,0,0,0,0,0,0,0,0,U.S. Census Bureau
3,https://www2.census.gov/programs-surveys/popest/tables/,0,0,0,0,0,0,0,0,U.S. Census Bureau
3,https://www2.census.gov/programs-surveys/popest/technical-documentation/,0,0,0,0,0,0,0,0,U.S. Census Bureau
2,U.S. Population Growth Slows Sharply as Immigration Numbers Plunge,0,1,2,2,1,0,0,3,New York Times
3,U.S. Population Growth Slows Due to Historic Decline in Net International Migration,0,10,0,10,0,0,0,10,U.S. Census Bureau
3,How Many People Has Trump Deported So Far?,0,6,4,3,6,1,0,10,New York Times
2,What Stories Do You Want to Read About Asian American Communities?,0,8,1,1,0,6,2,9,New York Times
3,Asian Americans are the fastest-growing racial or ethnic group in the U.S.,0,3,4,3,0,4,0,7,Pew Research Center
3,The Myth of Asian American Identity,0,2,0,1,0,1,0,2,New York Times
3,"In Texas, Vietnamese American Shrimpers Must Forge a New Path Again",0,2,5,2,1,4,0,7,New York Times
3,"A Japanese American Family, a Native American Tribe and a Bountiful Friendship",0,0,0,0,0,0,0,0,New York Times
3,"Applying to College, and Trying to Appear ‘Less Asian’",0,1,6,0,5,2,0,7,New York Times
3,California Could Become the First State to Ban Caste Bias as Prejudices Linger,0,1,3,1,1,2,0,4,New York Times
3,Reader Submission Terms,0,4,0,0,0,0,4,4,New York Times
3,Why The Times asks readers to contribute to our journalism.,0,2,0,0,0,2,0,2,New York Times
3,Amy Qin,0,2,0,0,0,0,2,2,New York Times
1,Number of immigrants in border communities plunges thanks to Trump crackdown,0,9,1,2,1,7,0,10,Fox News
2,Donald Trump,0,0,0,0,0,0,0,0,Fox News
2,"US sees net negative migration for first time in decades amid Trump admin enforcement, economists say",0,4,2,0,2,4,0,6,Fox News
3,"U.S. lost more immigrants than it gained in 2025, new estimate shows",0,7,6,2,5,6,0,13,Washington Post
3,"EXCLUSIVE: Millions of illegal immigrants leave US in record-breaking year under Trump policies, DHS says",0,4,0,2,0,2,0,4,Fox News
3,Refugees,0,0,0,0,0,0,0,0,Fox News
3,Enforcement,0,0,0,0,0,0,0,0,Fox News
3,Macroeconomic implications of immigration flows in 2025 and 2026: January 2026 update,0,1,26,11,7,9,0,27,Brookings
3,Immigration,0,0,0,0,0,0,0,0,Fox News
2,"Census Bureau announces ‘negative net-migration,’ as DHS cites 3 million illegal immigrants deported",0,10,2,0,0,0,12,12,Fox News
3,"US sees net negative migration for first time in decades amid Trump admin enforcement, economists say",0,4,2,0,2,4,0,6,Fox News
3,Trump administration touts ‘most secure border in history’ as 2.5 million migrants exit US,0,7,0,1,1,5,0,7,Fox News
3,Illegal Immigrants,0,0,0,0,0,0,0,0,Fox News
3,U.S. Population Growth Slows Due to Historic Decline in Net International Migration,0,10,0,3,0,7,0,10,U.S. Census Bureau
3,Growth,0,0,0,0,0,0,0,0,Fox News
3,World Drought,0,0,0,0,0,0,0,0,Fox News
3,Demographics,0,0,0,0,0,0,0,0,Fox News
3,West Virginia,0,0,0,0,0,0,0,0,Fox News
3,South Carolina,0,0,0,0,0,0,0,0,Fox News
3,White House,0,0,0,0,0,0,0,0,Fox News
3,"EXCLUSIVE: Millions of illegal immigrants leave US in record-breaking year under Trump policies, DHS says",0,4,0,2,0,2,0,4,Fox News
3,National ‘border czar’ Tom Homan doubles down on mass deportation in Arizona visit,0,0,0,0,0,0,0,0,Arizona Capitol Times
2,Florida,0,0,0,0,0,0,0,0,Fox News
2,North Carolina,0,0,0,0,0,0,0,0,Fox News
2,Houston & Galveston,0,0,0,0,0,0,0,0,Fox News
2,"Once known as ‘Dirty Myrtle,’ Myrtle Beach is now the fastest-growing US metro for seniors",0,0,0,0,0,0,0,0,Associated Press
2,New York City,0,0,0,0,0,0,0,0,Fox News
2,Pennsylvania,0,0,0,0,0,0,0,0,Fox News
2,Demographics,0,0,0,0,0,0,0,0,Fox News
1,Trump tanked his own polling by not focusing on violent criminals for deportation,0,4,8,5,1,6,0,12,MS Now
2,Poll: Trump's ratings on immigration tumble as Americans lose confidence in his top issue,0,6,0,2,4,0,0,6,NBC News
3,"Federal prosecutors resign over concerns about probe into Minneapolis ICE shooting, source says",0,6,2,0,2,6,0,8,NBC News
3,Trump administration to withdraw 700 immigration agents from Minnesota,0,6,4,1,5,4,0,10,NBC News
